participant_id,block,corrected_memorability_score,hits,false_alarms,mean_rt_ir,mean_rt_wr,mean_rt_hits,mean_rt_false_alarms,validation_passed,validation_correct,validation_wrong,validation_missed,n_target_sentences,n_active,n_passive,n_HH,n_HL,n_LH,n_LL
280,2,13,19,6,1712.4871794871794,1373.9655172413793,1761.6315789473683,2589.0,True,7,0,2,16,8,8,4,4,4,4
280,3,8,12,4,1360.4722222222222,1091.7083333333333,1565.9166666666667,1970.5,True,10,0,0,16,8,8,4,4,4,4
281,1,-19,13,32,1498.2698412698412,687.6578947368421,1400.2307692307693,1679.0,True,9,0,0,16,8,8,4,4,4,4
281,2,-20,12,32,1652.560606060606,404.56410256410254,1791.5833333333333,1898.9375,True,11,0,0,16,8,8,4,4,4,4
281,3,-16,12,28,2032.5862068965516,420.7142857142857,1858.8333333333333,2326.214285714286,True,9,0,1,16,8,8,4,4,4,4
282,1,-17,13,30,1400.111111111111,2462.1315789473683,1495.923076923077,1513.9333333333334,True,10,0,0,16,8,8,4,4,4,4
282,2,2,14,12,1559.9347826086957,1390.6666666666667,1665.2142857142858,2379.0,True,10,0,0,16,8,8,4,4,4,4
282,3,4,14,10,1739.75,560.7586206896551,1757.9285714285713,2842.0,True,10,0,0,16,8,8,4,4,4,4
283,1,5,11,6,1861.0967741935483,2563.9523809523807,1710.0,2925.0,True,7,0,3,16,8,8,4,4,4,4
283,2,4,4,0,1667.5454545454545,882.3076923076923,1880.5,,True,9,0,1,16,8,8,4,4,4,4
283,3,4,10,6,1594.1470588235295,1067.2272727272727,1978.9,1638.6666666666667,True,9,0,1,16,8,8,4,4,4,4
285,1,10,12,2,1302.34375,881.6363636363636,1275.5833333333333,2322.0,True,9,0,0,16,8,8,4,4,4,4
285,2,11,17,6,1255.6888888888889,525.5806451612904,1504.0,1419.0,True,11,0,0,16,8,8,4,4,4,4
285,3,11,15,4,1387.5641025641025,452.962962962963,1433.0,2334.0,True,10,0,0,16,8,8,4,4,4,4
286,1,-11,7,18,1736.4888888888888,731.6153846153846,1584.0,2026.7777777777778,True,10,0,0,16,8,8,4,4,4,4
286,2,4,8,4,1529.3666666666666,977.6315789473684,2027.375,1936.0,True,9,0,1,16,8,8,4,4,4,4
286,3,7,11,4,1364.1714285714286,543.3913043478261,1622.909090909091,1391.0,True,10,0,0,16,8,8,4,4,4,4
289,1,9,11,2,2179.76,825.8333333333334,2236.7272727272725,3875.0,True,6,0,0,16,8,8,4,4,4,4
289,2,-4,14,18,1781.1206896551723,701.7777777777778,1758.5,2304.3333333333335,True,13,0,0,16,8,8,4,4,4,4
289,3,3,13,10,1909.3111111111111,836.1034482758621,1973.6153846153845,2551.4,True,11,0,0,16,8,8,4,4,4,4
290,1,1,11,10,1556.2820512820513,2380.12,2229.181818181818,1740.6,True,9,0,0,16,8,8,4,4,4,4
290,2,9,17,8,1428.9333333333334,2464.7096774193546,1484.7058823529412,1783.25,True,10,0,0,16,8,8,4,4,4,4
290,3,12,14,2,1700.8055555555557,1521.28,1852.5,3655.0,True,10,0,1,16,8,8,4,4,4,4
292,1,-18,14,32,1354.3181818181818,812.525,1201.9285714285713,1623.6875,True,10,0,0,16,8,8,4,4,4,4
292,2,-15,13,28,1251.949152542373,717.3055555555555,1129.3076923076924,1472.7857142857142,True,9,0,0,16,8,8,4,4,4,4
292,3,-13,13,26,1275.3389830508474,620.7222222222222,1155.7692307692307,1569.8461538461538,True,10,0,1,16,8,8,4,4,4,4
293,1,6,12,6,1528.0,1417.96,1586.1666666666667,1931.0,True,10,0,0,16,8,8,4,4,4,4
